province,city,english
서울,서울,Seoul
부산,부산,Busan
대구,대구,Daegu
인천,인천,Incheon
광주,광주,Gwangju
대전,대전,Daejeon
울산,울산,Ulsan
세종,세종,Sejong
경기,수원,Suwon
경기,성남,Seongnam
경기,고양,Goyang
경기,용인,Yongin
경기,평택,Pyeongtaek
경기,안산,Ansan
경기,안양,Anyang
경기,파주,Paju
경기,의정부,Uijeongbu
경기,김포,Gimpo
경기,화성,Hwaseong
경기,시흥,Siheung
강원,춘천,Chuncheon
강원,원주,Wonju
강원,강릉,Gangneung
강원,속초,Sokcho
충북,청주,Cheongju
충북,충주,Chungju
충북,제천,Jecheon
충남,천안,Cheonan
충남,논산,Nonsan
충남,공주,Gongju
충남,서산,Seosan
충남,당진,Dangjin
충남,아산,Asan
충남,보령,Boryeong
전북,전주,Jeonju
전북,군산,Gunsan
전북,익산,Iksan
전북,정읍,Jeongeup
전북,남원,Namwon
전남,목포,Mokpo
전남,여수,Yeosu
전남,순천,Suncheon
전남,나주,Naju
전남,광양,Gwangyang
경북,포항,Pohang
경북,경주,Gyeongju
경북,구미,Gumi
경북,안동,Andong
경북,김천,Gimcheon
경북,상주,Sangju
경북,영주,Yeongju
경북,문경,Mungyeong
경북,영천,Yeongcheon
경남,창원,Changwon
경남,김해,Gimhae
경남,양산,Yangsan
경남,거제,Geoje
경남,통영,Tongyeong
경남,진주,Jinju
경남,밀양,Miryang
경남,사천,Sacheon
제주,제주,Jeju
일본,도쿄,Tokyo
일본,오사카,Osaka
일본,교토,Kyoto
일본,후쿠오카,Fukuoka
일본,삿포로,Sapporo
일본,나고야,Nagoya
일본,요코하마,Yokohama
일본,오키나와,Okinawa
중국,베이징,Beijing
중국,상하이,Shanghai
중국,광저우,Guangzhou
중국,선전,Shenzhen
중국,홍콩,Hong Kong
대만,타이베이,Taipei
동남아,방콕,Bangkok
동남아,싱가포르,Singapore
동남아,하노이,Hanoi
동남아,호치민,Ho Chi Minh City
동남아,자카르타,Jakarta
동남아,쿠알라룸푸르,Kuala Lumpur
동남아,마닐라,Manila
미국,뉴욕,New York
미국,로스앤젤레스,Los Angeles
미국,샌프란시스코,San Francisco
미국,시애틀,Seattle
미국,시카고,Chicago
미국,보스턴,Boston
미국,워싱턴,Washington
미국,라스베이거스,Las Vegas
미국,호놀룰루,Honolulu
캐나다,밴쿠버,Vancouver
캐나다,토론토,Toronto
유럽,런던,London
유럽,파리,Paris
유럽,베를린,Berlin
유럽,로마,Rome
유럽,마드리드,Madrid
유럽,바르셀로나,Barcelona
유럽,암스테르담,Amsterdam
유럽,취리히,Zurich
유럽,빈,Vienna
유럽,프라하,Prague
오세아니아,시드니,Sydney
오세아니아,멜버른,Melbourne
오세아니아,오클랜드,Auckland
중동,두바이,Dubai
중동,이스탄불,Istanbul
중동,카이로,Cairo
